160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,569,570,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,585,586,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
160,160,160,160,160,160,634,636,634,636,634,160,160,160,160,160,160,160
160,160,160,160,160,160,636,636,636,634,634,160,160,160,160,160,160,160
160,160,160,160,160,160,649,650,651,652,653,160,160,160,569,570,160,160
160,160,160,160,160,160,665,666,667,668,669,160,160,160,585,586,160,160
160,160,160,160,160,160,681,682,683,684,685,160,160,160,160,160,160,160
160,160,569,570,569,570,160,372,373,374,160,160,160,160,160,160,160,160
160,160,585,586,585,586,160,372,373,374,160,160,160,569,570,160,160,160
160,160,160,160,160,160,160,372,373,374,160,160,160,585,586,160,160,160
160,160,160,160,160,160,160,352,373,374,160,160,160,160,160,160,160,160
160,160,160,160,160,160,372,373,373,374,160,160,160,160,160,160,160,160
160,160,160,160,160,160,372,373,369,160,160,160,160,160,160,160,160,160

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,617,618,619,620,621,0,0,0,0,0,0,0
0,0,0,0,0,0,633,634,635,636,637,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

