volume: BGM[1.6] se:[0.7]
> Storage : class=[class kinugasa.resource.sound.SoundMap]
FM MOVE D2Idx{x=4, y=2} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=90.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@a98478] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=6, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@7a3b05, repeat=true, stop=false}], event=[FieldEvent{name=E_042_0, order=100, location=D2Idx{x=4, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_042_1, order=110, location=D2Idx{x=4, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_042_2, order=123, location=D2Idx{x=4, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™‚Ì“¹‹ï‚È‚Ç‚ª’u‚¢‚Ä‚ ‚éB—L—p‚È•¨‚Í‚È‚É‚àŒ©‚Â‚©‚ç‚È‚©‚Á‚½B, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_042_3, order=400, location=D2Idx{x=4, y=2}, eventType=END_AND_RESET_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}], node=null}
FM MOVE D2Idx{x=5, y=2} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=-90.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@a98478] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=4, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@7a3b05, repeat=true, stop=false}], event=[FieldEvent{name=E_041_0, order=100, location=D2Idx{x=5, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_041_1, order=110, location=D2Idx{x=5, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_041_2, order=115, location=D2Idx{x=5, y=2}, eventType=IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}, FieldEvent{name=E_041_3, order=120, location=D2Idx{x=5, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=–Ø–È‚ÌŽè@‚ðŒ©‚Â‚¯‚½I, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}, FieldEvent{name=E_041_4, order=130, location=D2Idx{x=5, y=2}, eventType=SET_FLG_TMP, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=ON, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}, FieldEvent{name=E_041_5, order=150, location=D2Idx{x=5, y=2}, eventType=GET_ITEM, storageName=, targetName=, value=–Ø–È‚ÌŽè@, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}, FieldEvent{name=E_041_6, order=170, location=D2Idx{x=5, y=2}, eventType=END_IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}, FieldEvent{name=E_041_7, order=205, location=D2Idx{x=5, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™‚Ì“¹‹ï‚È‚Ç‚ª’u‚¢‚Ä‚ ‚éB—L—p‚È•¨‚Í‚È‚É‚àŒ©‚Â‚©‚ç‚È‚©‚Á‚½B, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_041_8, order=400, location=D2Idx{x=5, y=2}, eventType=END_AND_RESET_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}], node=null}
start event : FieldEvent{name=E_041_0, order=100, location=D2Idx{x=5, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}->done
start event : FieldEvent{name=E_041_1, order=110, location=D2Idx{x=5, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}->done
start event : FieldEvent{name=E_041_2, order=115, location=D2Idx{x=5, y=2}, eventType=IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}start event : FieldEvent{name=E_041_3, order=120, location=D2Idx{x=5, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=–Ø–È‚ÌŽè@‚ðŒ©‚Â‚¯‚½I, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}->done
start event : FieldEvent{name=E_041_4, order=130, location=D2Idx{x=5, y=2}, eventType=SET_FLG_TMP, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=ON, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}->done
start event : FieldEvent{name=E_041_5, order=150, location=D2Idx{x=5, y=2}, eventType=GET_ITEM, storageName=, targetName=, value=–Ø–È‚ÌŽè@, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E07_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E07, value=}]}->done
ItemBags,addItem:CmdAction{type=ITEM, name=–Ø–È‚ÌŽè@}
tmp flags commit is done.
--------ManualEndEvent
FM MOVE D2Idx{x=4, y=2} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=90.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@7a7a7] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=9, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=2}, images=[Lkinugasa.resource.KImage;@7a3b05, repeat=true, stop=false}], event=[FieldEvent{name=E_042_0, order=100, location=D2Idx{x=4, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_042_1, order=110, location=D2Idx{x=4, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_042_2, order=123, location=D2Idx{x=4, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™‚Ì“¹‹ï‚È‚Ç‚ª’u‚¢‚Ä‚ ‚éB—L—p‚È•¨‚Í‚È‚É‚àŒ©‚Â‚©‚ç‚È‚©‚Á‚½B, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_042_3, order=400, location=D2Idx{x=4, y=2}, eventType=END_AND_RESET_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}], node=null}
FM MOVE D2Idx{x=3, y=2} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=90.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@a98478] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=13, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@7a3b05, repeat=true, stop=false}], event=[FieldEvent{name=E_05_0, order=100, location=D2Idx{x=3, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_05_1, order=110, location=D2Idx{x=3, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_05_2, order=115, location=D2Idx{x=3, y=2}, eventType=IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}, FieldEvent{name=E_05_3, order=120, location=D2Idx{x=3, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‚¢‚¢Š´‚¶‚Ì–_‚«‚ê‚ðŒ©‚Â‚¯‚½I, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}, FieldEvent{name=E_05_4, order=130, location=D2Idx{x=3, y=2}, eventType=SET_FLG_TMP, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=ON, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}, FieldEvent{name=E_05_5, order=150, location=D2Idx{x=3, y=2}, eventType=GET_ITEM, storageName=, targetName=, value=‚¢‚¢Š´‚¶‚Ì–_‚«‚ê, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}, FieldEvent{name=E_05_6, order=170, location=D2Idx{x=3, y=2}, eventType=END_IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}, FieldEvent{name=E_05_7, order=205, location=D2Idx{x=3, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™‚Ì“¹‹ï‚È‚Ç‚ª’u‚¢‚Ä‚ ‚éB—L—p‚È•¨‚Í‚È‚É‚àŒ©‚Â‚©‚ç‚È‚©‚Á‚½B, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_05_8, order=400, location=D2Idx{x=3, y=2}, eventType=END_AND_RESET_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}], node=null}
start event : FieldEvent{name=E_05_0, order=100, location=D2Idx{x=3, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}->done
start event : FieldEvent{name=E_05_1, order=110, location=D2Idx{x=3, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}->done
start event : FieldEvent{name=E_05_2, order=115, location=D2Idx{x=3, y=2}, eventType=IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}start event : FieldEvent{name=E_05_3, order=120, location=D2Idx{x=3, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‚¢‚¢Š´‚¶‚Ì–_‚«‚ê‚ðŒ©‚Â‚¯‚½I, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}->done
start event : FieldEvent{name=E_05_4, order=130, location=D2Idx{x=3, y=2}, eventType=SET_FLG_TMP, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=ON, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}->done
start event : FieldEvent{name=E_05_5, order=150, location=D2Idx{x=3, y=2}, eventType=GET_ITEM, storageName=, targetName=, value=‚¢‚¢Š´‚¶‚Ì–_‚«‚ê, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E05_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E05, value=}]}->done
ItemBags,addItem:CmdAction{type=ITEM, name=‚¢‚¢Š´‚¶‚Ì–_‚«‚ê}
tmp flags commit is done.
--------ManualEndEvent
FM MOVE D2Idx{x=2, y=2} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=90.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@7a7a7] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=2, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=2}, images=[Lkinugasa.resource.KImage;@7a3b05, repeat=true, stop=false}], event=[FieldEvent{name=E_06_0, order=100, location=D2Idx{x=2, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_06_1, order=110, location=D2Idx{x=2, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_06_2, order=115, location=D2Idx{x=2, y=2}, eventType=IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}, FieldEvent{name=E_06_3, order=120, location=D2Idx{x=2, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™Žt‚Ì”ñíH‚ðŒ©‚Â‚¯‚½I, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}, FieldEvent{name=E_06_4, order=130, location=D2Idx{x=2, y=2}, eventType=SET_FLG_TMP, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=ON, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}, FieldEvent{name=E_06_5, order=150, location=D2Idx{x=2, y=2}, eventType=GET_ITEM, storageName=, targetName=, value=‹™Žt‚Ì”ñíH, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}, FieldEvent{name=E_06_6, order=170, location=D2Idx{x=2, y=2}, eventType=END_IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}, FieldEvent{name=E_06_7, order=205, location=D2Idx{x=2, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™‚Ì“¹‹ï‚È‚Ç‚ª’u‚¢‚Ä‚ ‚éB—L—p‚È•¨‚Í‚È‚É‚àŒ©‚Â‚©‚ç‚È‚©‚Á‚½B, disposeWhenExec=false, exists=true, term=[]}, FieldEvent{name=E_06_8, order=400, location=D2Idx{x=2, y=2}, eventType=END_AND_RESET_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}], node=null}
start event : FieldEvent{name=E_06_0, order=100, location=D2Idx{x=2, y=2}, eventType=MANUAL_EVENT, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[]}->done
start event : FieldEvent{name=E_06_1, order=110, location=D2Idx{x=2, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=!PC1‚Í’I‚ð’²‚×‚½, disposeWhenExec=false, exists=true, term=[]}->done
start event : FieldEvent{name=E_06_2, order=115, location=D2Idx{x=2, y=2}, eventType=IF, storageName=, targetName=, value=, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}start event : FieldEvent{name=E_06_3, order=120, location=D2Idx{x=2, y=2}, eventType=SHOW_MESSAGE_DIRECT, storageName=, targetName=, value=‹™Žt‚Ì”ñíH‚ðŒ©‚Â‚¯‚½I, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}->done
start event : FieldEvent{name=E_06_4, order=130, location=D2Idx{x=2, y=2}, eventType=SET_FLG_TMP, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=ON, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}->done
start event : FieldEvent{name=E_06_5, order=150, location=D2Idx{x=2, y=2}, eventType=GET_ITEM, storageName=, targetName=, value=‹™Žt‚Ì”ñíH, disposeWhenExec=false, exists=true, term=[EventTerm{name=TOMAGISHUT_E06_FLG_NOT_EXISTS, termType=NO_EXISTS_FLG, storageName=ITEMS, targetName=TOMAGISHUT_E06, value=}]}->done
ItemBags,addItem:CmdAction{type=ITEM, name=‹™Žt‚Ì”ñíH}
tmp flags commit is done.
--------ManualEndEvent
FM MOVE D2Idx{x=2, y=3} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@664a78] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=11, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=0}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=2, y=4} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@8f514a] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=2, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=2, y=5} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@664a78] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=6, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=0}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=1, y=5} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=90.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@a98478] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=6, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@7a3b05, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=1, y=6} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@827c4a] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=10, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=2}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=1, y=7} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@8f514a] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=14, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=1, y=8} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@827c4a] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=3, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=2}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
FM MOVE D2Idx{x=1, y=9} / EC=0 / FieldMapTile{chip=[MapChip{name=005000, attr=MapChipAttribute{name=–Ø°, encountBaseValue=0}}, MapChip{name=005003, attr=MapChipAttribute{name=VOID, encountBaseValue=0}}], npc=null, playerCharacter=ImageSprite location=[344.0,224.0] size=[32.0,32.0] center=[360.0,240.0] personalCenter=[16.0,16.0] visible=[true] exist=[true] speed=[2.5] vector=[VectorF{angle=0.0, speed=2.5}] z=[0.0] image=[kinugasa.resource.KImage@8f514a] drawingModel=[IMAGE_BOUNDS_XY] animationImage=[Animation{visibleTime=FrameTimeCounter{timeCount=9, speed=1, index=SimpleIndex{index=0}, waitTime=[14]}, index=SimpleIndex{index=1}, images=[Lkinugasa.resource.KImage;@13d2a37, repeat=true, stop=false}], event=[], node=null}
